,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full
spapros_0_eye_33,0.5720608825052773,0.4421863840349182,0.9587425268070608,0.9127350427350427,0.019525731307338076,0.019525731307338076
spapros_0_eye_34,0.4917053296153696,0.3892901054182444,0.9474917267891925,0.9,0.014330142277466188,0.014330142277466188
spapros_0_eye_35,0.3838166856339448,0.36572513114268146,0.9017896401881886,0.8638405797101448,0.010995082846574812,0.010995082846574812
spapros_0_eye_36,0.4407599988020267,0.3964541092594243,0.9228414540993576,0.9,0.01340963652246618,0.01340963652246618
spapros_0_eye_37,0.39127187992210954,0.3615151278083285,0.9017831281455229,0.8239130434782609,0.012262611064186238,0.012262611064186238
spapros_0_eye_38,0.5025042024699455,0.4006935489300895,0.9264181832358995,0.8813768115942029,0.014672055119319618,0.014672055119319618
spapros_0_eye_39,0.46389255809761,0.3980807430653277,0.9283727254467884,0.9,0.014393741201794664,0.014393741201794664
spapros_0_eye_40,0.48569603193923205,0.38379934954838807,0.9370449915550058,0.9,0.012747489618019794,0.012747489618019794
spapros_0_eye_41,0.47697866441296655,0.39531787205810603,0.922282457249219,0.8847826086956522,0.014058466047317551,0.014058466047317551
spapros_0_eye_42,0.38332259759177584,0.3604341078585246,0.9154320888682239,0.8673913043478259,0.012936454642021377,0.012936454642021377
spapros_0_eye_43,0.4878544435383634,0.39562595997632244,0.943092140813204,0.9,0.014307782765242302,0.014307782765242302
spapros_0_eye_44,0.48907786201583703,0.3989399585553449,0.95508457603246,0.9397435897435897,0.016180523007914692,0.016180523007914692
spapros_0_eye_45,0.46733162706849046,0.388338432758758,0.9390432340143796,0.886566332218506,0.013414152683611196,0.013414152683611196
spapros_0_eye_46,0.4422205953828289,0.38914783184230306,0.9392724519774527,0.9,0.013350025600734632,0.013350025600734632
spapros_0_eye_47,0.4878892987436751,0.4021349242074262,0.9457738508074215,0.9,0.01592356701818293,0.01592356701818293
spapros_0_eye_48,0.5004885531054315,0.41350708387290724,0.9316152830183171,0.8758695652173912,0.016143096281758574,0.016143096281758574
spapros_0_eye_49,0.5379966610386336,0.4043868788815515,0.942294053266146,0.9,0.015546135020595486,0.015546135020595486
spapros_0_eye_50,0.4857243754235494,0.39651979514800706,0.9411657455102072,0.9,0.014698597253989514,0.014698597253989514
spapros_0_eye_51,0.4437623223858459,0.39322213336028716,0.9178069701765776,0.8161594202898549,0.014752909988359968,0.014752909988359968
spapros_0_eye_52,0.5035290308482921,0.3890793421370602,0.9448777712828729,0.9,0.01207163333540515,0.01207163333540515
spapros_0_eye_53,0.3929158732151159,0.38355912249138097,0.9334971604954074,0.9,0.013216079545619406,0.013216079545619406
spapros_0_eye_54,0.4944593616074998,0.4011299017396867,0.9475549623725593,0.9008262108262108,0.015216379374008274,0.015216379374008274
spapros_0_eye_55,0.4879196849392927,0.3885181686562653,0.9491927736509593,0.9367236467236466,0.014299627718417677,0.014299627718417677
