,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_eye_23,0.9173825948917614,0.8882881677261069,0.07876909444567103,0.07876909444567103,0.6929309196419811,0.5535324748224582
spapros_0_eye_24,0.9451903377890742,1.0,0.07520405728508958,0.07520405728508958,0.6920225700894629,0.5468212817586833
spapros_0_eye_25,0.9332235118171879,0.970748299319728,0.07737835854226154,0.07737835854226154,0.6913458617692116,0.5480699281677459
spapros_0_eye_26,0.9173520043419074,0.8936143637782982,0.06241552895543715,0.06241552895543715,0.6597449543042937,0.5117773096839004
spapros_0_eye_27,0.9105134373414102,0.8571428571428571,0.0564744252226632,0.0564744252226632,0.6254725105574582,0.48340213251104575
spapros_0_eye_28,0.934242004715872,1.0,0.07284054002736799,0.07284054002736799,0.6857638845334421,0.5446507409866215
spapros_0_eye_29,0.9284588880433645,0.95578231292517,0.07580712154758878,0.07580712154758878,0.6881628760403861,0.5462059712501462
spapros_0_eye_30,0.9472792690926825,1.0,0.07729919295893589,0.07729919295893589,0.6886113224092192,0.5581373878262581
spapros_0_eye_31,0.9414244033938834,1.0,0.08019287715971225,0.08019287715971225,0.7011195603673084,0.555798341147615
spapros_0_eye_32,0.9405360707179781,1.0,0.07337351858503222,0.07337351858503222,0.6947178980826841,0.533845357014355
spapros_0_eye_33,0.9356993972396204,0.993877551020408,0.06179823995427283,0.06179823995427283,0.6490230116285278,0.5239433733622979
spapros_0_eye_34,0.9169020660044573,0.9243782759005243,0.07104339652095851,0.07104339652095851,0.6839623828411359,0.5288139043895708
spapros_0_eye_35,0.9383656645459703,1.0,0.07438918864324794,0.07438918864324794,0.6837612542412493,0.5268177575304055
spapros_0_eye_36,0.928832402105882,0.9476190476190475,0.07802504477161663,0.07802504477161663,0.6870111446148096,0.5479617471345397
spapros_0_eye_37,0.9342663680290171,0.995238095238095,0.07922659167269858,0.07922659167269858,0.6877999219263233,0.5523946376718518
spapros_0_eye_38,0.9439946127037201,1.0,0.06745207591499305,0.06745207591499305,0.6781590632431075,0.5189982417402433
spapros_0_eye_39,0.9460440312099155,1.0,0.08027137257336006,0.08027137257336006,0.7007145058472118,0.5623276446861352
spapros_0_eye_40,0.9255713527972818,0.9542366454778629,0.07049052023684524,0.07049052023684524,0.6728219171948813,0.529989864808649
spapros_0_eye_41,0.9350850325055171,0.9734693877551018,0.07267740255605931,0.07267740255605931,0.6990681297690394,0.542486801763199
spapros_0_eye_42,0.9460410351614452,1.0,0.07849295918421367,0.07849295918421367,0.6900635495821248,0.5424428645752455
spapros_0_eye_43,0.9260947609510903,0.9707482993197277,0.07323523456665645,0.07323523456665645,0.6867654027296379,0.5348554170165276
spapros_0_eye_44,0.9366816727045434,0.9925170068027208,0.0674068556460638,0.0674068556460638,0.6795504206407785,0.542261832770051
spapros_0_eye_45,0.934459884111945,1.0,0.07229166192791274,0.07229166192791274,0.6861361784191902,0.5255153508578335
spapros_0_eye_46,0.9214478636989133,0.919047619047619,0.07034180639232478,0.07034180639232478,0.674770713944886,0.5299559376488293
spapros_0_eye_47,0.9399511446546074,1.0,0.07647503181390194,0.07647503181390194,0.693528139405359,0.5506029880285132
spapros_0_eye_48,0.9378697188444252,1.0,0.0669180621819134,0.0669180621819134,0.6734504628490501,0.5105611024486296
spapros_0_eye_49,0.9362290548429788,0.993877551020408,0.06722651080838274,0.06722651080838274,0.6619753075813508,0.5043246595866748
spapros_0_eye_50,0.941225069589393,1.0,0.07474218353295596,0.07474218353295596,0.6919341518309229,0.541681006019788
spapros_0_eye_51,0.9297534793035493,0.9653061224489795,0.07041517334931881,0.07041517334931881,0.6537020029654709,0.5302886693208148
spapros_0_eye_52,0.9381513345845561,1.0,0.0703690155588964,0.0703690155588964,0.6677453866325469,0.5224609995027978
spapros_0_eye_53,0.9316192586512678,0.9857142857142854,0.07131552230892049,0.07131552230892049,0.6580232642555668,0.523193111389668
spapros_0_eye_54,0.9448709285859638,1.0,0.07090685507526512,0.07090685507526512,0.687141957121416,0.5365362781699808
spapros_0_eye_55,0.9413427931914379,1.0,0.07620367268046922,0.07620367268046922,0.6869498694247962,0.5509666493232759
