,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_eye_20,0.026551300748943945,0.026551300748943945,0.7258036457973387,0.5675760070055593,0.951447110684547,1.0
spapros_0_eye_21,0.025210967409499723,0.025210967409499723,0.7806181003627846,0.5995233147916936,0.9529177660537851,1.0
spapros_0_eye_22,0.025606004182745352,0.025606004182745352,0.7871560137100244,0.6137397531782545,0.9544337655902695,1.0
spapros_0_eye_23,0.029690235351607665,0.029690235351607665,0.7834851541003784,0.6296438786391025,0.9384918142831709,1.0
spapros_0_eye_24,0.026399465943674923,0.026399465943674923,0.7518795012037562,0.6023137317821685,0.9545045550763198,1.0
spapros_0_eye_25,0.029503303931017084,0.029503303931017084,0.8023697375931752,0.6226813256043926,0.9499274302246092,1.0
spapros_0_eye_26,0.022977706311191462,0.022977706311191462,0.7730574479841663,0.5969543773863076,0.9448701045503868,1.0
spapros_0_eye_27,0.02191800093749123,0.02191800093749123,0.7499971280089732,0.5593218348347332,0.9325316797345817,1.0
spapros_0_eye_28,0.0264010103036301,0.0264010103036301,0.773460366495211,0.6144858379660832,0.9522867294773163,1.0
spapros_0_eye_29,0.029523914690548107,0.029523914690548107,0.7786533540242346,0.6159861176890356,0.9468896845623391,1.0
spapros_0_eye_30,0.026949218967504403,0.026949218967504403,0.8107361970970256,0.6248745442165321,0.9597451243470264,1.0
spapros_0_eye_31,0.028085887049895987,0.028085887049895987,0.8017488051812889,0.6291319216292732,0.9555290282839173,1.0
spapros_0_eye_32,0.02603605962875735,0.02603605962875735,0.7792611635593762,0.596165937255939,0.9532940767008707,1.0
spapros_0_eye_33,0.021656991738655113,0.021656991738655113,0.7921320854082639,0.5979217956377724,0.957012661895508,1.0
spapros_0_eye_34,0.025597687863691335,0.025597687863691335,0.7648171164793243,0.5934795005594937,0.935359336001327,0.9914153564647027
spapros_0_eye_35,0.027052318434625796,0.027052318434625796,0.7653327161185064,0.6036166461078505,0.9539440395050924,1.0
spapros_0_eye_36,0.025933331930522364,0.025933331930522364,0.8005547470842735,0.6104788133635942,0.9502047129723897,1.0
spapros_0_eye_37,0.02847195113993225,0.02847195113993225,0.7755008998538984,0.6353857071560505,0.9498797353993687,1.0
spapros_0_eye_38,0.026114689868925314,0.026114689868925314,0.776603291407711,0.5821828048525146,0.9574198924983481,1.0
spapros_0_eye_39,0.029036254960885004,0.029036254960885004,0.80904014155422,0.6231486998205868,0.9585196127023917,1.0
spapros_0_eye_40,0.027119631113909654,0.027119631113909654,0.77606834015754,0.6309750185353329,0.941911491241751,1.0
spapros_0_eye_41,0.026012146027538686,0.026012146027538686,0.7841548534014946,0.6052274764539194,0.9493457736557777,1.0
spapros_0_eye_42,0.028961178835158363,0.028961178835158363,0.7846885634569956,0.6241869777427933,0.9559601832037132,1.0
spapros_0_eye_43,0.02643326335662082,0.02643326335662082,0.7805745624259408,0.5999854753041586,0.9473665493280816,1.0
spapros_0_eye_44,0.021814207916370034,0.021814207916370034,0.7823451563754767,0.5912906167136651,0.9467419000207452,1.0
spapros_0_eye_45,0.02656076937016361,0.02656076937016361,0.7789194942952827,0.592665328565106,0.9517930275783663,1.0
spapros_0_eye_46,0.02460578944245501,0.02460578944245501,0.7827313463546144,0.5916222412179739,0.9431902476773835,1.0
spapros_0_eye_47,0.027922556074024326,0.027922556074024326,0.8000322485669258,0.6200394346756377,0.9553248934940808,1.0
spapros_0_eye_48,0.02255775193400599,0.02255775193400599,0.7698907747087489,0.5751230451562434,0.9515066647616721,1.0
spapros_0_eye_49,0.025081779049434948,0.025081779049434948,0.7595538189560416,0.5819692257187705,0.9507541812842356,1.0
spapros_0_eye_50,0.026434534600214107,0.026434534600214107,0.7976491154853008,0.6129803970081176,0.9553805499626453,1.0
spapros_0_eye_51,0.02697361655493686,0.02697361655493686,0.7695656844158139,0.6125988101603144,0.9442330440787446,1.0
spapros_0_eye_52,0.026225654635115496,0.026225654635115496,0.7682235557084973,0.6000569596184316,0.9475616527018573,1.0
spapros_0_eye_53,0.026006138607689404,0.026006138607689404,0.7701439139757734,0.6006439036169974,0.9452346533965034,1.0
spapros_0_eye_54,0.02528977660919466,0.02528977660919466,0.7863697381988897,0.6018538440864882,0.9538555526701585,1.0
spapros_0_eye_55,0.027719642963924693,0.027719642963924693,0.7938692085612478,0.626020611999517,0.9518776716808189,1.0
