,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,n,eval_dataset,selection_data_id,data_id,dataset,processing,ct_key,n_cts,cells_per_ct_seed,cells_per_ct,bootstrap_seed,permutation,permutation_file,permutation_name,n_datasets,n_permutations,permutations,n_cells
10,0.7013266427133392,0.3199449849835755,0.6210728037335624,0.6329567532403589,50,liver_34,10,10,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_10,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_10,2,7,"('e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",7546
11,0.5711177126279882,0.1556675505188091,0.576923489535361,0.5602822949138178,50,liver_34,11,11,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_11,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_11,2,7,"('61677140-eb79-41d6-aad6-254f7d0bc9ae', 'aad23e04-0dfd-4826-b150-4362f3936849')",10621
12,0.7237749244765339,0.3385354292230607,0.6404578930216716,0.6201093438030145,50,liver_34,12,12,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_12,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_12,2,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", 'e5757b8e-5506-424a-a599-60341c981011')",9665
13,0.7326993423656627,0.3996519187219716,0.621027136964786,0.6010935520495829,50,liver_34,13,13,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_13,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_13,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29', 'e5757b8e-5506-424a-a599-60341c981011')",21268
14,0.7147137413350122,0.364690768231678,0.6236471898699449,0.6170184479363418,50,liver_34,14,14,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_14,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_14,3,7,"('998d8dbd-2f42-4611-9973-2da95db46c29', 'e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",17514
15,0.7532003694309855,0.4110908130104017,0.6528793732540766,0.6099516681443855,50,liver_34,15,15,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_15,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_15,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '61677140-eb79-41d6-aad6-254f7d0bc9ae')",18626
16,0.7476370467298714,0.4552760868094352,0.6218442663258933,0.6012996215824651,50,liver_34,16,16,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_16,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_16,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29', '61677140-eb79-41d6-aad6-254f7d0bc9ae')",24343
17,0.7215214561041642,0.29085836226185,0.6726463396033183,0.6212286727044207,50,liver_34,17,17,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_17,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_17,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", 'e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",11797
18,0.7215780453443487,0.3451451133407431,0.5844258122322984,0.5795764698795505,50,liver_34,18,18,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_18,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_18,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", 'e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",13432
19,0.7205825522415397,0.3566003573005079,0.6770334199548899,0.6497768128922778,50,liver_34,19,19,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_19,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_19,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", '998d8dbd-2f42-4611-9973-2da95db46c29', 'e5757b8e-5506-424a-a599-60341c981011')",19633
