,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8,n,eval_dataset,selection_data_id,data_id,dataset,processing,ct_key,n_cts,cells_per_ct_seed,cells_per_ct,bootstrap_seed,permutation,permutation_file,permutation_name,n_datasets,n_permutations,permutations,n_cells
12,0.5103403634568479,0.5814048718977244,0.6536570575280318,0.1612348390133858,50,bone_marrow_84,53,53,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_12,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_12,2,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"")",6900
13,0.5145308037524527,0.6000607245057334,0.6903391043781084,0.2320926782526018,50,bone_marrow_84,54,54,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_13,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_13,2,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 3' v3"")",31099
14,0.5262349320053846,0.5823637632834562,0.6864470836294264,0.231322458455002,50,bone_marrow_84,55,55,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_14,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_14,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 3' v3"", '998d8dbd-2f42-4611-9973-2da95db46c29')",39954
15,0.5232859777668752,0.5889318218982722,0.6820267646305735,0.2099756631165211,50,bone_marrow_84,56,56,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_15,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_15,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 3' v3"", '998d8dbd-2f42-4611-9973-2da95db46c29')",39426
16,0.5214433946193694,0.5826754968071391,0.7047733179803433,0.2499341086906298,50,bone_marrow_84,57,57,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_16,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_16,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", 'cff18cfc-a679-45f1-b686-510c7c620308')",12747
17,0.5276437985405835,0.6007282773417452,0.7099210654723657,0.2594268588242379,50,bone_marrow_84,58,58,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_17,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_17,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29', 'fe737bb8-d231-463c-8c3c-1a6256abf5f1')",41891
18,0.5085316675503952,0.5983288981776197,0.710607336558083,0.275925923009823,50,bone_marrow_84,59,59,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_18,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_18,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 3' v3"", 'fe737bb8-d231-463c-8c3c-1a6256abf5f1')",62005
19,0.5509997816390935,0.6528929813198175,0.7225789302110045,0.3134493986983641,50,bone_marrow_84,60,60,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_19,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_19,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 3' v3"", 'aad23e04-0dfd-4826-b150-4362f3936849')",40730
20,0.5213242203454497,0.6019389202142673,0.7011872577256045,0.2722579677780928,50,bone_marrow_84,61,61,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_20,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_20,3,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 3' v3"", 'cff18cfc-a679-45f1-b686-510c7c620308', 'aad23e04-0dfd-4826-b150-4362f3936849')",42863
21,0.5321234544105566,0.595922049505368,0.7072464226094272,0.2870738091448075,50,bone_marrow_84,62,62,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_21,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_21,4,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 3' v3"", 'fe737bb8-d231-463c-8c3c-1a6256abf5f1', 'aad23e04-0dfd-4826-b150-4362f3936849')",70580
22,0.5631821774540721,0.6226605418427851,0.7240187249769471,0.3023551902416069,50,bone_marrow_84,63,63,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_22,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_22,4,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", 'cff18cfc-a679-45f1-b686-510c7c620308', '998d8dbd-2f42-4611-9973-2da95db46c29', 'fe737bb8-d231-463c-8c3c-1a6256abf5f1')",47738
23,0.53923490246204,0.6098520791150126,0.7034512224892209,0.2677949309199652,50,bone_marrow_84,64,64,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_23,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_23,4,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29', 'fe737bb8-d231-463c-8c3c-1a6256abf5f1')",45605
24,0.5459583365366126,0.6318378538430782,0.710129986115498,0.2934945177465287,50,bone_marrow_84,65,65,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_24,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_24,4,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 3' v3"", '998d8dbd-2f42-4611-9973-2da95db46c29', 'aad23e04-0dfd-4826-b150-4362f3936849')",48529
25,0.5390043093835466,0.6019523296661504,0.7300602822822225,0.3403831862075913,50,bone_marrow_84,66,66,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_25,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_25,4,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 3' v3"", 'cff18cfc-a679-45f1-b686-510c7c620308', 'aad23e04-0dfd-4826-b150-4362f3936849')",46577
