data_id,dataset,processing,ct_key,n_cts,cells_per_ct_seed,cells_per_ct,bootstrap_seed,permutation
76,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_3
77,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_4
78,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_5
79,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_6
80,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_7
81,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_8
82,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_9
83,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_10
84,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_11
85,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_12
86,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_13
87,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_14
