,knn_overlap mean_overlap_AUC,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_10_HLCA_133,0.7869425993840108,0.9058097193074508,0.8786703739522886,0.7869425993840108,0.7869425993840108,0.9211472262011896,0.8987823256555197
spapros_11_HLCA_133,0.8777426537965157,0.9056278590401498,0.8735034386417364,0.8777426537965157,0.8777426537965157,0.9204312609760478,0.9030561560970576
spapros_7_HLCA_133,0.9199641664583882,0.9053965148608676,0.8620654953793251,0.9199641664583882,0.9199641664583882,0.9053747853777264,0.9005369532458426
spapros_1_HLCA_134,0.0281646250572723,0.6165369732168187,0.25,0.0281646250572723,0.0281646250572723,0.2355173424146908,0.3449910062981401
spapros_0_HLCA_134,0.035978316102933,0.7265597542962434,0.3815314917750712,0.035978316102933,0.035978316102933,0.4766622765796627,0.4611691793551539
spapros_2_HLCA_134,0.0521218606869133,0.7698713348210775,0.5228863316141715,0.0521218606869133,0.0521218606869133,0.6475043193119647,0.5873569306899291
spapros_3_HLCA_134,0.082223102842786,0.8164238022616279,0.5907405803515178,0.082223102842786,0.082223102842786,0.7294506203890767,0.6902844072426056
spapros_4_HLCA_134,0.1571728580066601,0.8447134559858661,0.6885980404600663,0.1571728580066601,0.1571728580066601,0.8272369693280677,0.788860990042094
spapros_5_HLCA_134,0.2963096890430378,0.8649136206840714,0.6949279484708145,0.2963096890430378,0.2963096890430378,0.8853848062736964,0.8567952714330627
spapros_6_HLCA_134,0.4853154684581066,0.8731456479537106,0.7163838383838383,0.4853154684581066,0.4853154684581066,0.925210914402026,0.8850141015045342
spapros_10_HLCA_134,0.6023889038382331,0.8764085707564042,0.7209656135826348,0.6023889038382331,0.6023889038382331,0.921443454521788,0.8929737885138224
spapros_11_HLCA_134,0.6575541458621952,0.8783301766505422,0.7405956372232968,0.6575541458621952,0.6575541458621952,0.943756657532366,0.8983855014143091
spapros_7_HLCA_134,0.7065775553158671,0.8840699643317856,0.7781021384053297,0.7065775553158671,0.7065775553158671,0.9488249499550336,0.9004577982128664
spapros_1_HLCA_135,0.0280713131906033,0.7474590081750858,0.4012804528942588,0.0280713131906033,0.0280713131906033,0.3363144384769137,0.3557681134375857
spapros_0_HLCA_135,0.0507853505389443,0.8508030644694895,0.6441787999973035,0.0507853505389443,0.0507853505389443,0.573291211119256,0.5346664655592004
spapros_2_HLCA_135,0.0796793414387951,0.876410526506293,0.765460305492942,0.0796793414387951,0.0796793414387951,0.7292208725744747,0.6705351861627766
spapros_3_HLCA_135,0.1358714144283029,0.8911553216103625,0.8086513539651836,0.1358714144283029,0.1358714144283029,0.8287428635416464,0.7884314987783516
spapros_4_HLCA_135,0.2691987725505094,0.90285296012004,0.839480711369009,0.2691987725505094,0.2691987725505094,0.8962133383784532,0.855236223147988
spapros_5_HLCA_135,0.4420039013595872,0.9053434441941824,0.8725303030303031,0.4420039013595872,0.4420039013595872,0.8955884357122753,0.8822361711199698
spapros_6_HLCA_135,0.672376525842246,0.9067063409122976,0.8829961852568233,0.672376525842246,0.672376525842246,0.9122621336451898,0.8957889397893396
spapros_10_HLCA_135,0.7941689580325675,0.9058418187216224,0.8686628519234901,0.7941689580325675,0.7941689580325675,0.934599351928964,0.8979608138780776
spapros_11_HLCA_135,0.8817789130012077,0.904404153506909,0.8643597141629057,0.8817789130012077,0.8817789130012077,0.9054777056670218,0.8992046730939295
spapros_7_HLCA_135,0.9263791192291306,0.905758696966696,0.8685490006447452,0.9263791192291306,0.9263791192291306,0.9181298072054922,0.9031028102292282
spapros_1_HLCA_136,0.0236530473298544,0.7612681541302593,0.4763492669001394,0.0236530473298544,0.0236530473298544,0.1703545832499439,0.2947831707855332
spapros_0_HLCA_136,0.0361808214001938,0.8377155388996786,0.6728168930388084,0.0361808214001938,0.0361808214001938,0.5131330525220519,0.4436301357308478
spapros_2_HLCA_136,0.0655711774262302,0.8483012653198024,0.7286013773887937,0.0655711774262302,0.0655711774262302,0.7041476943781596,0.6033272766636281
spapros_3_HLCA_136,0.0968059573279903,0.8659457597488762,0.7695004519455954,0.0968059573279903,0.0968059573279903,0.7708763985998448,0.6968268296396657
spapros_4_HLCA_136,0.2011834998161999,0.8791027092570722,0.7651344263766506,0.2011834998161999,0.2011834998161999,0.8709614771100879,0.8062245533147262
spapros_5_HLCA_136,0.3613170480726972,0.8938986353983127,0.8000262196432407,0.3613170480726972,0.3613170480726972,0.904459791327982,0.8691482254322207
spapros_6_HLCA_136,0.5829325452218833,0.8986496536837014,0.8200640984311196,0.5829325452218833,0.5829325452218833,0.9335370024624297,0.8883734233980694
