,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_HLCA_102,0.2190292293828707,0.38489994148651324,0.8694603254576031,0.8267458443721938
spapros_0_HLCA_103,0.11345070589144056,0.41442858108072916,0.8775230014369314,0.8164397141320218
spapros_0_HLCA_104,0.49755836806432935,0.48800545627571434,0.8842823694248998,0.8399689190936473
spapros_0_HLCA_105,0.38216480280360143,0.5667570517667543,0.8820333582778646,0.8405102726645111
spapros_0_HLCA_106,0.25088824435396334,0.45547795488126414,0.8862932508652965,0.8395896983682751
spapros_0_HLCA_107,0.46500505757144583,0.49471969747942623,0.8850727932300368,0.8390828221036482
spapros_0_HLCA_108,0.25099405002578434,0.5002102827346367,0.8895361053385488,0.8841658769314417
spapros_0_HLCA_109,0.4035078480912236,0.5058869714493055,0.8927139239315532,0.8936957938665623
spapros_0_HLCA_110,0.29087401644882016,0.3893376761350405,0.8791445588726382,0.8128231905858889
spapros_0_HLCA_111,0.16885351609403546,0.4774730805534372,0.8873747350481145,0.8918004935394659
spapros_0_HLCA_112,0.2524748820684723,0.45734262045253926,0.8768997209216257,0.8301759628881252
spapros_0_HLCA_113,0.13620363835863564,0.4507137478415707,0.8786496215672189,0.7994040064280138
spapros_0_HLCA_114,0.24833750991322956,0.4571160968754663,0.8721936285036344,0.7736277557929285
spapros_0_HLCA_115,0.37626788334473094,0.5125471811803898,0.8881751689074288,0.8679477625786272
spapros_0_HLCA_116,0.26092452105414576,0.4202203605472713,0.8809317112941704,0.8366355912544514
spapros_0_HLCA_117,0.3395948815973668,0.491114580874371,0.8930007825353213,0.8927125635006654
spapros_0_HLCA_118,0.4358857191434058,0.4993312933863754,0.8985527761755575,0.8915181160489941
spapros_0_HLCA_119,0.16673579766385077,0.4405965424744888,0.8999953818529896,0.9010077321298333
spapros_0_HLCA_120,0.22136811024190078,0.4533248967295937,0.8825213767548734,0.7814228001958736
spapros_0_HLCA_121,0.10322480450920453,0.43273624021743284,0.8884872611402718,0.8373118228099472
spapros_0_HLCA_122,0.2590949301012523,0.41274435104733714,0.8904512031834388,0.8560779336467509
spapros_0_HLCA_123,0.3268239590641153,0.45859195607442677,0.8890839774553057,0.8571910177473183
spapros_0_HLCA_124,0.3867760311310821,0.44230017534182353,0.8956923310642922,0.8895471957848623
spapros_0_HLCA_125,0.25146903897195194,0.4613753469725436,0.8936383556983174,0.9114725876391646
spapros_0_HLCA_126,0.5225345063328946,0.4945464026373997,0.8882605693351562,0.8509840806930823
spapros_0_HLCA_127,0.5933670496506035,0.5327281447380041,0.8967973730233593,0.925588895885547
spapros_0_HLCA_128,0.46200725299857065,0.5004754587703638,0.8933061386290542,0.9038537335599676
spapros_0_HLCA_129,0.3022042021869815,0.49541209349473847,0.8926458155264468,0.9016546284838751
spapros_0_HLCA_130,0.0691192906717525,0.41126614793997074,0.8866254194779386,0.8357741186635246
spapros_0_HLCA_131,0.4492079905349606,0.5035240180399381,0.8894954446617293,0.8442307166351566
