,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full,knn_overlap mean_overlap_AUC
spapros_0_HLCA_79,0.5691757037487319,0.5096588748191427,0.7819452361594244,0.6213233030561036,,,
spapros_0_HLCA_80,0.1836850288358502,0.4195044918043867,0.7488032796623915,0.4695763442360715,,,
spapros_0_HLCA_81,0.6248230645787112,0.5372161727910247,0.7994530317329996,0.6859825600318464,,,
spapros_0_HLCA_82,0.5790101706704548,0.4965886566617922,0.7826182636367907,0.6671534851828939,,,
spapros_0_HLCA_83,0.5183694538187514,0.4809556632273596,0.7717992499172827,0.6123857855650524,,,
spapros_0_HLCA_84,0.561051937139719,0.4921674594906264,0.7968525028395688,0.6705617999510091,,,
spapros_0_HLCA_85,0.587661334847954,0.5072791780841278,0.782373431758803,0.6389983204206667,,,
spapros_0_HLCA_86,0.6369108380472137,0.5485895880722674,0.8044590961773608,0.7337783100915999,,,
spapros_0_HLCA_87,0.5835552594629861,0.5061894036569532,0.7857380839931901,0.633729389521885,,,
spapros_0_HLCA_88,0.5913408205908077,0.5070669324134028,0.7883767094320243,0.6433591023728389,,,
spapros_0_HLCA_89,0.5883480117890624,0.5107269634929785,0.7929928383028395,0.6520777489015648,,,
spapros_0_HLCA_90,0.4263775726469524,0.4728339759603909,0.7749565679696623,0.5928023593204057,,,
spapros_0_HLCA_91,0.5655705023909374,0.5040957708603078,0.7694067109940215,0.54491988991465,,,
spapros_0_HLCA_92,0.630062247191073,0.5321532165572759,0.7961896160618603,0.6871996486723995,,,
spapros_0_HLCA_93,0.4444199545548326,0.438860663299403,0.7665045916127388,0.5947230140077714,,,
spapros_0_HLCA_94,0.5801219945801281,0.4956815060805043,0.754424763152434,0.5226198874911985,,,
spapros_0_HLCA_95,0.6418928789618754,0.5476545086315247,0.7965349920182508,0.6890740668263499,,,
spapros_0_HLCA_96,0.5662900398084972,0.507919078902823,0.783613454878677,0.6324350447100415,,,
spapros_0_HLCA_97,0.5877451694199103,0.5089411513528098,0.7882982788804492,0.6408355525483589,,,
spapros_0_HLCA_98,0.564193166049328,0.4949967809089218,0.7879503154312325,0.6582821844007889,,,
spapros_0_HLCA_99,0.5726178842032725,0.518840907596438,0.7880899858689864,0.6803201369793054,,,
spapros_0_HLCA_100,0.6111232445707153,0.5292392537785533,0.778801708000646,0.6391756430693043,,,
spapros_0_HLCA_101,0.6056490685572327,0.5160956068429219,0.7829698750913667,0.627606000356277,,,
spapros_0_HLCA_102,0.4457503642684272,0.4351790481274102,0.7616339191405943,0.5482785090838695,,,
spapros_0_HLCA_103,0.5714908042759528,0.4887142095942169,0.7852059696350712,0.6846987624539089,,,
spapros_0_HLCA_104,0.6186643447211906,0.53827147838747,0.7766764669250419,0.6136180820386428,,,
spapros_0_HLCA_105,0.6090580390205748,0.5226564573647228,0.7836254962389853,0.6599369493794888,,,
spapros_0_HLCA_106,0.5423298951172429,0.4826871985449595,0.7847294022171022,0.6405602916301701,,,
spapros_0_HLCA_107,0.5145301106353388,0.4868142438261887,0.7893544589193237,0.6065552286277673,,,
spapros_0_HLCA_108,0.5919212530056669,0.509897822085342,0.7941347075551236,0.6752067429894995,,,
spapros_0_HLCA_109,0.5785684365062199,0.504166665007841,0.7776526125865896,0.6187172265506,,,
spapros_0_HLCA_110,0.3670000776422742,0.4957423079337227,0.7893525112123521,0.6935557013846272,,,
spapros_0_HLCA_111,0.604048149983334,0.5199600490434001,0.8049601119548674,0.7500704018354681,,,
spapros_0_HLCA_112,0.48860227454725,0.4682071792826129,0.7906788335897735,0.6678782079915998,,,
spapros_0_HLCA_113,0.5549674684106056,0.4990706845871454,0.7974650635593973,0.720326362151586,,,
spapros_0_HLCA_114,0.4818633358658225,0.475538828673223,0.7766396036753187,0.607099854757878,,,
spapros_0_HLCA_115,0.600238938031027,0.5208303367595472,0.7847457865561589,0.6556934731168826,,,
spapros_0_HLCA_116,0.5922735986606836,0.4936245584372157,0.7806516175827312,0.6700207263324949,,,
spapros_0_HLCA_117,0.5379235089171741,0.4903943742117359,0.7810544823229555,0.6305966708728911,,,
spapros_0_HLCA_118,0.6009186443798866,0.5100721910818456,0.7916052964246959,0.6797520935150815,,,
spapros_0_HLCA_119,0.587737669803922,0.5067354989585642,0.7989081843662089,0.7030822150920376,,,
spapros_0_HLCA_120,0.5594022991082656,0.4990404425974634,0.7669737468468151,0.5839130293163655,,,
spapros_0_HLCA_121,0.5176816997495902,0.4747535882944104,0.7928370981400935,0.6498949193302381,,,
