,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap mean_overlap_AUC,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
spapros_11_HLCA_134,0.8741011855001051,0.8259365303737802,0.6204440108551703,0.9340952571192348,0.8884593688879356,0.6204440108551703,0.6204440108551703
spapros_7_HLCA_134,0.8765428192134221,0.8434036147130994,0.710697660171092,0.9379478959106616,0.8928869549802979,0.710697660171092,0.710697660171092
spapros_1_HLCA_135,0.7103192261708995,0.3619082489670566,0.0178488514713646,0.2492497385792515,0.4545202184977581,0.0178488514713646,0.0178488514713646
spapros_0_HLCA_135,0.8087182722901678,0.636039969852931,0.0203695514831402,0.6360909712519787,0.5960343204114361,0.0203695514831402,0.0203695514831402
spapros_2_HLCA_135,0.846613952456588,0.7144949075852887,0.0320043993627095,0.7467382459616579,0.6425838261352492,0.0320043993627095,0.0320043993627095
spapros_3_HLCA_135,0.8666131762835771,0.8174580450015607,0.0591841217007383,0.8013110464079294,0.7338850171307828,0.0591841217007383,0.0591841217007383
spapros_4_HLCA_135,0.8834181541899023,0.869840269188092,0.1472895560300957,0.85196396762736,0.8211420832687016,0.1472895560300957,0.1472895560300957
spapros_5_HLCA_135,0.8891577920395816,0.8788503611039672,0.2794739325956628,0.9011397847715906,0.8563904901416167,0.2794739325956628,0.2794739325956628
spapros_6_HLCA_135,0.890977226728144,0.8810640270246841,0.5175086841399927,0.9222082578286784,0.8815560842908248,0.5175086841399927,0.5175086841399927
spapros_10_HLCA_135,0.8946424238558444,0.8875793888042756,0.686562725335772,0.9366771688711434,0.8868024977505904,0.686562725335772,0.686562725335772
spapros_11_HLCA_135,0.8936747954499107,0.8873859164650308,0.8202481250168532,0.9345115524043248,0.893015263557691,0.8202481250168532,0.8202481250168532
spapros_7_HLCA_135,0.8954683576340788,0.8902807626243734,0.9024911970520304,0.9372717637888236,0.8944109382421065,0.9024911970520304,0.9024911970520304
spapros_1_HLCA_136,0.6737555151852181,0.2791973842859162,0.0133665780987737,0.1158251514906327,0.2514782787249633,0.0133665780987737,0.0133665780987737
spapros_0_HLCA_136,0.7886232956163057,0.6156155925185344,0.0187830942483719,0.5863088292104609,0.5559049993151811,0.0187830942483719,0.0187830942483719
