,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap mean_overlap_AUC,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
spapros_4_HLCA_136,0.8856964339961015,0.7935705347668311,0.8057581800805701,0.7899011018818041,0.12185448309168063,0.12185448309168063,0.12185448309168063
spapros_5_HLCA_136,0.8977786009344679,0.8236272096625571,0.8650375621238571,0.8496853452361846,0.2643385652802999,0.2643385652802999,0.2643385652802999
spapros_6_HLCA_136,0.9041045746410731,0.8613648779158298,0.9038137721371774,0.8938363761593535,0.5034720668954988,0.5034720668954988,0.5034720668954988
spapros_10_HLCA_136,0.9071740311717013,0.8715945459566579,0.9106241706584084,0.9025238832194473,0.6351792666888431,0.6351792666888431,0.6351792666888431
spapros_11_HLCA_136,0.905984392046777,0.8712705305904443,0.9160193607204442,0.9027957771244012,0.7320463172553635,0.7320463172553635,0.7320463172553635
spapros_7_HLCA_136,0.9097478592032328,0.8852347786955712,0.9272645633952512,0.9037740356343956,0.7979673847037264,0.7979673847037264,0.7979673847037264
spapros_1_HLCA_137,0.6912152676433694,0.34590386816494556,0.09672203776824062,0.1883883680100606,0.013679705659463304,0.013679705659463304,0.013679705659463304
spapros_0_HLCA_137,0.8084690632590494,0.5916881164763063,0.47495547087854945,0.41148954917952557,0.017145877417628838,0.017145877417628838,0.017145877417628838
spapros_2_HLCA_137,0.8470137679811207,0.724765107455181,0.5555931292530034,0.5222113781677988,0.029922057205673872,0.029922057205673872,0.029922057205673872
spapros_3_HLCA_137,0.8811917510945511,0.8237766895044721,0.6659058589153624,0.6853076869492081,0.06008500592064557,0.06008500592064557,0.06008500592064557
spapros_4_HLCA_137,0.8947460351246065,0.8525032814984475,0.8231173075944793,0.8248875264595975,0.15985242349959267,0.15985242349959267,0.15985242349959267
spapros_5_HLCA_137,0.9044825662616951,0.9075807549202244,0.8663176898605576,0.8687049847008173,0.33389792269719176,0.33389792269719176,0.33389792269719176
spapros_6_HLCA_137,0.9076150087167282,0.9110163923907676,0.9084787583918756,0.8992419760548639,0.5989843444684292,0.5989843444684292,0.5989843444684292
spapros_10_HLCA_137,0.91060334365597,0.9171805631243536,0.9052060217609972,0.9036443580784276,0.7499793542804477,0.7499793542804477,0.7499793542804477
spapros_11_HLCA_137,0.9111819890928373,0.9173911166083344,0.9072840175333015,0.911248052266728,0.8413486196076551,0.8413486196076551,0.8413486196076551
spapros_7_HLCA_137,0.9148987749916957,0.9267150376084361,0.9166781870069524,0.9079770294379855,0.9149121838821531,0.9149121838821531,0.9149121838821531
spapros_1_HLCA_138,0.7373162872570539,0.43186781363983673,0.15868487014717192,0.2541500719057025,0.01620340729681522,0.01620340729681522,0.01620340729681522
spapros_0_HLCA_138,0.8193278269679884,0.6130946573183881,0.458962235408724,0.40363412938933524,0.014981378931438666,0.014981378931438666,0.014981378931438666
spapros_2_HLCA_138,0.8433734028195978,0.6913915190658878,0.5986317495504327,0.5675153624479702,0.023030905354287194,0.023030905354287194,0.023030905354287194
spapros_3_HLCA_138,0.8721955244291065,0.7413262759620611,0.6835800671665342,0.6579420411233163,0.03993524689056041,0.03993524689056041,0.03993524689056041
spapros_4_HLCA_138,0.8859826677161791,0.7749391723733222,0.7893765598838667,0.7837336844418384,0.10383750222120976,0.10383750222120976,0.10383750222120976
spapros_5_HLCA_138,0.9000227471958665,0.8564266400302781,0.844237504080046,0.848407432241476,0.22647905022697865,0.22647905022697865,0.22647905022697865
spapros_6_HLCA_138,0.9046787955160034,0.8729143969304569,0.8810051922839509,0.8937843166682307,0.4540143548980978,0.4540143548980978,0.4540143548980978
spapros_10_HLCA_138,0.9051689817630081,0.8864871976400669,0.8992326328339267,0.9026897036784826,0.5994177900666731,0.5994177900666731,0.5994177900666731
spapros_11_HLCA_138,0.9071258671442581,0.8845496113575758,0.9138771828532192,0.9055429556033427,0.7278486253935988,0.7278486253935988,0.7278486253935988
spapros_7_HLCA_138,0.9113316230790312,0.8990367777831247,0.9131139568935467,0.9079809596714675,0.8155046340821879,0.8155046340821879,0.8155046340821879
spapros_1_HLCA_139,0.7751242920101569,0.5635892177711126,0.13576168203752215,0.31284456022995494,0.014133958362571879,0.014133958362571879,0.014133958362571879
spapros_0_HLCA_139,0.8326773450474357,0.6986420364546333,0.5929304022702723,0.5778656641069989,0.02203147507462959,0.02203147507462959,0.02203147507462959
spapros_2_HLCA_139,0.8580819489131329,0.7603825196441861,0.6682384956770758,0.6612515139950028,0.034772902342934765,0.034772902342934765,0.034772902342934765
spapros_3_HLCA_139,0.8764880436203741,0.8284223151076455,0.7366205053161564,0.7365089106449225,0.060169382364937116,0.060169382364937116,0.060169382364937116
spapros_4_HLCA_139,0.8972791801786574,0.8648348369048668,0.827630664126789,0.8348690319729197,0.16547620738390512,0.16547620738390512,0.16547620738390512
spapros_5_HLCA_139,0.9069745516897982,0.894973529077263,0.8958260861854473,0.8844050894322872,0.36491174182112307,0.36491174182112307,0.36491174182112307
spapros_6_HLCA_139,0.9153206113569388,0.9208038229691738,0.9242039771389501,0.9030911317281746,0.6680789034703211,0.6680789034703211,0.6680789034703211
spapros_10_HLCA_139,0.9168553652575074,0.9218478069705776,0.9271105748860333,0.9106159147826773,0.8079688942412263,0.8079688942412263,0.8079688942412263
spapros_11_HLCA_139,0.9167258331990711,0.9251877574926767,0.9179185343990172,0.9102490581612926,0.8883116053184987,0.8883116053184987,0.8883116053184987
spapros_7_HLCA_139,0.9171390694270544,0.9210530680041509,0.9301936814551435,0.9110079381944216,0.9410134169082471,0.9410134169082471,0.9410134169082471
spapros_1_HLCA_140,0.7932202532511705,0.6090262219509016,0.13608669359140485,0.2919557018666164,0.013206961667533778,0.013206961667533778,0.013206961667533778
spapros_0_HLCA_140,0.8449442161501594,0.7060643975078026,0.45487007281526454,0.416470516598565,0.017314552313536416,0.017314552313536416,0.017314552313536416
spapros_2_HLCA_140,0.8782146548105167,0.806599246700945,0.5869120112873351,0.5616707682457962,0.032613509571099625,0.032613509571099625,0.032613509571099625
spapros_3_HLCA_140,0.8906791633756747,0.8278208884324081,0.7425468279641056,0.7175942370678181,0.0633402746252151,0.0633402746252151,0.0633402746252151
spapros_4_HLCA_140,0.9044164605599546,0.8757015267801054,0.8285412137644506,0.8243552284260336,0.17072713082008037,0.17072713082008037,0.17072713082008037
spapros_5_HLCA_140,0.9101428608267457,0.8853024795165566,0.8652683422248706,0.8729501135865781,0.3448578803966074,0.3448578803966074,0.3448578803966074
spapros_6_HLCA_140,0.9134654242068175,0.8966166006031627,0.9003590161195153,0.9014644645743743,0.6340238778927072,0.6340238778927072,0.6340238778927072
spapros_10_HLCA_140,0.9154806312236621,0.9154424867450296,0.9070093314441017,0.9058887506729164,0.7793278570003894,0.7793278570003894,0.7793278570003894
spapros_11_HLCA_140,0.9158616389974407,0.9173156121578813,0.9137819925437265,0.908660231908884,0.8778896921608461,0.8778896921608461,0.8778896921608461
spapros_7_HLCA_140,0.9161305931683915,0.9162946806559731,0.9241207267974257,0.9096722896380396,0.9285940488230834,0.9285940488230834,0.9285940488230834
spapros_1_HLCA_141,0.7524304609353936,0.4822357618183389,0.12806289957745376,0.23225149592978211,0.013115737905289204,0.013115737905289204,0.013115737905289204
spapros_0_HLCA_141,0.8231548139173992,0.6663647086517525,0.47064883269176894,0.40362712552355273,0.015853940538152193,0.015853940538152193,0.015853940538152193
spapros_2_HLCA_141,0.8602649329858926,0.7162759485523673,0.5954142247266649,0.6164943006945204,0.030552327289205303,0.030552327289205303,0.030552327289205303
spapros_3_HLCA_141,0.8756513190947722,0.7699101799106669,0.6847249050232769,0.6918632062649387,0.052111798357881704,0.052111798357881704,0.052111798357881704
