,knn_overlap mean_overlap_AUC,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
spapros_10_HLCA_139,0.6826673659115895,0.856992697947144,0.8208516375691637,0.9174925080807982,0.850466671683878,0.6826673659115895,0.6826673659115895
spapros_11_HLCA_139,0.7535975018186883,0.8568007219746475,0.8215066700027743,0.9208052197816012,0.8552516380733002,0.7535975018186883,0.7535975018186883
spapros_7_HLCA_139,0.89767996738162,0.8586641961177559,0.8398524958825508,0.928188362087634,0.8688588003486657,0.89767996738162,0.89767996738162
spapros_1_HLCA_140,0.0125541015756067,0.6634994291342148,0.2639845918216653,0.1098268246427961,0.1995777010947256,0.0125541015756067,0.0125541015756067
spapros_0_HLCA_140,0.0171963093661919,0.7582827221988098,0.4953780362272379,0.7506796449053463,0.6000240274841099,0.0171963093661919,0.0171963093661919
spapros_2_HLCA_140,0.0360434435680891,0.7972203072990659,0.6483303794836512,0.7622228903652597,0.6383226924953207,0.0360434435680891,0.0360434435680891
spapros_3_HLCA_140,0.0793198969485934,0.8265858578470907,0.7709147241685625,0.8073829715856216,0.7182848840324307,0.0793198969485934,0.0793198969485934
spapros_4_HLCA_140,0.2297658745110394,0.8373769007761949,0.8038265045423812,0.8631667459535253,0.7979585726376536,0.2297658745110394,0.2297658745110394
spapros_5_HLCA_140,0.4157749449561059,0.8469802371456422,0.8037772074351696,0.8936198988803246,0.8352235975369174,0.4157749449561059,0.4157749449561059
spapros_6_HLCA_140,0.6377944508555807,0.8512327159008157,0.8046517874151826,0.9235432751063852,0.858363651280291,0.6377944508555807,0.6377944508555807
spapros_10_HLCA_140,0.7583141691091182,0.8537061813332121,0.803518926032266,0.926251326048858,0.859673396286501,0.7583141691091182,0.7583141691091182
spapros_11_HLCA_140,0.8371752971351053,0.8520538804317763,0.7921837187497245,0.9286857225529308,0.8642063712008661,0.8371752971351053,0.8371752971351053
spapros_7_HLCA_140,0.8970094666317052,0.8574154367782229,0.8279227115907655,0.9290269747776956,0.867680531982586,0.8970094666317052,0.8970094666317052
spapros_1_HLCA_141,0.012701060841646,0.6313846886493291,0.2098062492342554,0.1061292279346056,0.1757930185676722,0.012701060841646,0.012701060841646
spapros_0_HLCA_141,0.0189101173326233,0.7592946766176544,0.4412609603520955,0.8040352119997716,0.6103492447230627,0.0189101173326233,0.0189101173326233
spapros_2_HLCA_141,0.0393047842850135,0.8047219659799357,0.606452113611796,0.7866998953590167,0.6609958128740832,0.0393047842850135,0.0393047842850135
spapros_3_HLCA_141,0.0791111905803707,0.8274558882448305,0.7461729028204044,0.8270965997166583,0.7276931680575324,0.0791111905803707,0.0791111905803707
spapros_4_HLCA_141,0.1996954509898211,0.8431938637638592,0.8008682698054027,0.8662642456988272,0.7916615052373491,0.1996954509898211,0.1996954509898211
spapros_5_HLCA_141,0.3874098376938411,0.846713375786312,0.8089026377153498,0.8861408468127469,0.8292334382794799,0.3874098376938411,0.3874098376938411
spapros_6_HLCA_141,0.6292219713008389,0.8541066583974342,0.8198829051490012,0.9132756752744234,0.8577199956951723,0.6292219713008389,0.6292219713008389
spapros_10_HLCA_141,0.7538149807644501,0.8582963524973186,0.8301577156222265,0.9243634694826944,0.8607444175656369,0.7538149807644501,0.7538149807644501
spapros_11_HLCA_141,0.8341504893167235,0.8591260082348758,0.8332998706324386,0.9333369197067845,0.8649072096846192,0.8341504893167235,0.8341504893167235
spapros_7_HLCA_141,0.8947065071715905,0.8583186653020792,0.8307104409826478,0.9294004314742336,0.8694581441923154,0.8947065071715905,0.8947065071715905
spapros_1_HLCA_142,0.0121205511356431,0.5953482841155552,0.1625389270639648,0.1347211978774483,0.2221869932774365,0.0121205511356431,0.0121205511356431
spapros_0_HLCA_142,0.0132685610013043,0.696636236184468,0.325862240105681,0.6698521393926937,0.5250906085233243,0.0132685610013043,0.0132685610013043
spapros_2_HLCA_142,0.0215949845184472,0.7517872924733808,0.4222182981333273,0.7221062053391023,0.6053751892218754,0.0215949845184472,0.0215949845184472
spapros_3_HLCA_142,0.0374114459866138,0.7902107567151371,0.5885805847948117,0.7737645040967025,0.6685830654477569,0.0374114459866138,0.0374114459866138
spapros_4_HLCA_142,0.1142710534487013,0.8089755535867325,0.6659707460836072,0.8086447899034674,0.7534543392903169,0.1142710534487013,0.1142710534487013
spapros_5_HLCA_142,0.2603328736553205,0.8300503355777561,0.7479349805679069,0.8780975543136442,0.8070467368433027,0.2603328736553205,0.2603328736553205
spapros_6_HLCA_142,0.497289005978854,0.841881056327243,0.8024812117342566,0.9007436431988516,0.8463175643181297,0.497289005978854,0.497289005978854
spapros_10_HLCA_142,0.6304894434382938,0.8486966515395047,0.8252699660865961,0.9166537841454192,0.855047187266868,0.6304894434382938,0.6304894434382938
spapros_11_HLCA_142,0.7051922088797962,0.8528857676100536,0.8350669772426167,0.920359182395574,0.8549204826544443,0.7051922088797962,0.7051922088797962
spapros_7_HLCA_142,0.7728054443812584,0.8540843629383856,0.8373056136071011,0.9148412235756403,0.8629756632898629,0.7728054443812584,0.7728054443812584
pseudo_9_HLCA_132,1.0,0.8610119514338951,0.8509268468135691,0.9289981447792026,0.8672329259280149,1.0,1.0
pseudo_9_HLCA_133,1.0,0.8610119514338951,0.8509268468135691,0.9289981447792026,0.8672329259280149,1.0,1.0
pseudo_9_HLCA_134,1.0,0.8610119514338951,0.8509268468135691,0.9289981447792026,0.8672329259280149,1.0,1.0
pseudo_9_HLCA_135,1.0,0.8610119514338951,0.8509268468135691,0.9289981447792026,0.8672329259280149,1.0,1.0
pseudo_9_HLCA_136,1.0,0.8610119514338951,0.8509268468135691,0.9289981447792026,0.8672329259280149,1.0,1.0
pseudo_9_HLCA_137,1.0,0.8610119514338951,0.8509268468135691,0.9289981447792026,0.8672329259280149,1.0,1.0
pseudo_9_HLCA_138,1.0,0.8610119514338951,0.8509268468135691,0.9289981447792026,0.8672329259280149,1.0,1.0
pseudo_9_HLCA_139,1.0,0.8610119514338951,0.8509268468135691,0.9289981447792026,0.8672329259280149,1.0,1.0
pseudo_9_HLCA_140,1.0,0.8610119514338951,0.8509268468135691,0.9289981447792026,0.8672329259280149,1.0,1.0
pseudo_9_HLCA_141,1.0,0.8610119514338951,0.8509268468135691,0.9289981447792026,0.8672329259280149,1.0,1.0
pseudo_9_HLCA_142,1.0,0.8610119514338951,0.8509268468135691,0.9289981447792026,0.8672329259280149,1.0,1.0
spapros_0_HLCA_61,,0.6098629038681643,0.20275958571783856,0.08981497816713731,0.4320744631294236,,
spapros_0_HLCA_62,,0.7368122441632493,0.4071812644415732,0.7303868097326573,0.5669900441125998,,
spapros_0_HLCA_63,,0.696636236184468,0.325862240105681,0.6698521393926937,0.5250906085233243,,
spapros_0_HLCA_64,,0.7440848713114625,0.403298659916021,0.7412128787614926,0.5950458099925979,,
spapros_0_HLCA_65,,0.7439793651059144,0.4196639924871828,0.7276820608218466,0.590020417013228,,
spapros_0_HLCA_66,,0.8032953935671128,0.6319446059081881,0.7622836666750066,0.605083497790492,,
spapros_0_HLCA_67,,0.7410861600365951,0.408453095215835,0.7360591119791311,0.6075024103212077,,
